Event_num;Site;Event_date_old;Error;Event_date_young;Error_1
ACQE1;ACQ;2009;0;2009;0
ACQE2;ACQ;1201;50;NULL;NULL
ZACE1;ZAC;2009;0;2009;0
ZACE2;ZAC;625;23;NULL;NULL
ZACE3;ZAC;-3270;30;625;23
TRETE1;TRET;2009;0;2009;0
TRETE2;TRET;1255;18;1351;75
TRETE3;TRET;955;33;1025;63
TRETE4;TRET;-585;88;955;33
TRETE5;TRET;-585;88;955;33
250KE1;250K;-760;20;1151;75
250KE2;250K;-4900;50;-615;38
PMTAE0;TA;2009;0;2009;0
PMTAE2;TA;77;28;789;50
PMTAE3;TA;NULL;NULL;-100;150
PMTBE1;TB;1515;48;NULL;NULL
1;T1_Ga;2009;0;2009;0
2;T1_Ga;715;33;NULL;NULL
1;T2_Ga;2009;0;2009;0
2;T2_Ga;330;45;NULL;NULL
3;T2_Ga;-410;55;330;45
1;P1;-2550;40;NULL;NULL
1;T1_G;-1761;31;NULL;NULL
2;T2_G;2009;0;2009;0
3;T2_G;NULL;NULL;-1799;43
